M60.1	http://b/hotlists/2006550	Release Manager: ashwinraghav@	Code Freeze Thu Nov 28, 2019 (Core team will create RC from Rapid next day)
Launchcal Deadline December 6, 2019
Launch December 9, 2019 (go/firebase-m-dates   go/firebase-android-calendar)												
Library Name	External Name	Library Group	Owner	Launching?	OldVersion	NewVersion	Ariane Entry	Release
Note CL	JavaDocs CL	Link to CHANGELOG	Internal Hotlist	Prebuilts Drop Bug	Manual Verification Bug	Javadoc Bug	Fireescape name(if applicable)
			Responsible for making sure this sheet is updated	Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.	Current public version	Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl	Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).	If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.		Required: Text file that is customer-facing descriptions of all changes in the release 	Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized)				
							Firebase tips								
							GMS Core								
crash	firebase-crash	crash	tdeshpande												
firebase-perf	firebase-perf	firebase-perf	jamxl	Yes - but no functional changes	19.0.2	19.0.3		http://cl/282475449				b/145207905	b/145612722		
phenotype	play-services-phenotype	phenotype	eworoshow						N/A - no ref docs ever						
firebase_remote_config	firebase-config	firebase_remote_config	clp	Yes - bug fixes only	19.0.3	19.0.4		cl/283316936				b/145207846	b/145208330		firebase-config
firebase_remote_config_ktx	firebase-config-ktx	firebase_remote_config_ktx	clp	Yes - bug fixes only	19.0.3	19.0.4		cl/283316936				b/145207846	b/145208330		firebase-config:ktx
functions		N/A	klimt												firebase-functions
functions-ktx		N/A	klimt												firebase-functions:ktx
firebase_core	firebase-core	firebase_core	ashwinraghav						N/A - no ref docs ever						
firebase_invites	firebase-invites	firebase-invites	ciarandowney												
protolite-well-known-types			ashwinraghav						N/A - no ref docs ever						protolite-well-known-types
vision_image_label_impl	firebase-ml-vision-image-label-model	vision	songchenxi												
vision_face_impl	firebase-ml-vision-face-model	vision	songchenxi												
vision	play-services-vision	vision	songchenxi												
vision_common	play-services-vision-common	vision	songchenxi												
vision_image_label	play-services-vision-image-label	vision	songchenxi												
icing	firebase-appindexing	icing	cassiewang												
firebase-inappmessaging	firebase-inappmessaging	N/A	theresamegha												firebase-inappmessaging
firebase-inappmessaging-display	firebase-inappmessaging-display	N/A	theresamegha												firebase-inappmessaging-display
google-services plugin 	n/a	n/a	davidmotson												
strict-version-matcher	n/a	n/a	davidmotson												
firebase-datatransport	firebase-datatransport	n/a	vkryachko					N/A - no release notes ever							firebase-datatransport
transport-runtime	transport-runtime	n/a	vkryachko	Yes - bug fixes only	2.1.0	2.2.0	ariane/324440	N/A - no release notes ever				b/145559456			transport:transport-runtime
transport-backend-cct	transport-backend-cct	n/a	vkryachko	Yes - includes new functionality	2.1.0	2.2.0	ariane/324440	N/A - no release notes ever				b/145207689	b/145209491		transport:transport-backend-cct
transport-api	transport-api	n/a	vkryachko	Yes - bug fixes only	2.1.0	2.2.0	ariane/324440	N/A - no release notes ever				b/145559611			transport:transport-api
firebase-transport-encoders	firebase-transport-encoders	n/a	rlazo	Yes - other reason (add comment)	-	16.0.0	ariane/324436	N/A - no release notes ever				b/145207503	b/145207627		encoders:firebase-encoders-json
firebase-appdistribution-gradle	n/a	n/a	abarone	Yes - but no functional changes	1.2.0	1.3.0		cl/283252983				b/145558738	b/145536485		
firebase-crashlytics-gradle		n/a	marcrichards	No								b/145208106			
