M53,http://b/hotlists/1670324,Release Manager: davidmotson@,Code Freeze July 30, 2019 (Core team will create RC from Rapid next day)
Launchcal Deadline August 2, 2019
Launch August 8, 2019 (go/firebase-m-dates   go/firebase-android-calendar),,,,https://docs.google.com/a/google.com/open?id=143R5Uqv5xGcjqkgR96h98IVOyI4nlaqWbFR6fQpPa2I,,,,,,,,
Library Name,External Name,Library Group,Owner,Launching?,OldVersion,NewVersion,Ariane Entry,Release
Note CL,JavaDocs CL,Link to CHANGELOG,Internal Hotlist,Prebuilts Drop Bug,Manual Verification Bug,Javadoc Bug,Fireescape name(if applicable)
,,,Responsible for making sure this sheet is updated,Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.,Current public version,Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl,Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).,If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.,,Required: Text file that is customer-facing descriptions of all changes in the release ,Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized),,,,
,,,,,,,Firebase tips,,,,,,,,
,,,,,,,GMS Core,,,,,,,,
firebase-auth-interop,,firebase-auth-interop,mdeck,Yes - includes new functionality,18.1.0,19.0.0,http://ariane/303421,nullability,N/A - no ref docs ever,,,b/138728752,b/139153283,b/139148881,
firebase-auth,,firebase_auth,mdeck,No,N/A,N/A,,,,,,,,,
firebase-auth-api,firebase-auth,firebase_auth,mdeck,Yes - includes new functionality,18.1.1,19.0.0,http://ariane/303421,nullability,,,,b/138727936,b/139153095,b/139150871,
firebase-database,firebase-database,firebase_database,mrschmidt,Yes - includes new functionality,18.0.1,19.0.0,http://ariane/303421,nullability,,,,b/138727818,b/138739049,b/139150617,firebase-database
firebase_ml_natural_language,firebase-ml-natural-language,firebase_ml_naturallanguage,bauerb,Yes - includes new functionality,20.0.2,21.0.0,http://ariane/303421,cl/261923066,,,,b/138729049,b/139154561,b/139148269,
firebase_ml_language_id,firebase-ml-natural-language-language-id-model,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,20.0.2,20.0.3,,cl/261923066,,,,b/138728280,b/139151929,b/139150282,
predictondevice-api,firebase-ml-natural-language-smart-reply,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,18.0.2,18.0.3,,cl/261923066,,,,b/138728892,b/139154165,b/139149863,
predictondevice,firebase-ml-natural-language-smart-reply-model,firebase_ml_naturallanguage,bauerb,Yes - includes new functionality,20.0.2,20.0.3,,cl/261923066,,,,b/138726772,b/139152466,b/139150770,
firebase_ml_translate_api,firebase-ml-natural-language-translate,firebase_ml_naturallanguage_translate,bauerb,Yes - includes new functionality,20.0.2,21.0.0,,cl/261923066,,,,b/138728519,b/139153225,b/139150133,
