M59,http://b/hotlists/1917979,Release Manager: vkryachko@,Code Freeze October 29, 2019 (Core team will create RC from Rapid next day)
Launchcal Deadline November 1, 2019
Launch November 7, 2019 (go/firebase-m-dates   go/firebase-android-calendar),,,,,,,,,,,,
Library Name,External Name,Library Group,Owner,Launching?,OldVersion,NewVersion,Ariane Entry,Release
Note CL,JavaDocs CL,Link to CHANGELOG,Internal Hotlist,Prebuilts Drop Bug,Manual Verification Bug,Javadoc Bug,Fireescape name(if applicable)
,,,Responsible for making sure this sheet is updated,Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.,Current public version,Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl,Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).,If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.,,Required: Text file that is customer-facing descriptions of all changes in the release ,Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized),,,,
,,,,,,,Firebase tips,,,,,,,,
,,,,,,,GMS Core,,,,,,,,
firebase-auth-interop,,firebase-auth-interop,mdeck,,,,,,N/A - no ref docs ever,,,,,,
firebase-auth,,firebase_auth,mdeck,,,,,,,,,,,,
firebase-auth-api,firebase-auth,firebase_auth,leosiracusa,No,,,,,,,,,,,
firebase-database,firebase-database,firebase_database,mrschmidt,,,,,,,,,,,,firebase-database
firebase_ml_natural_language,firebase-ml-natural-language,firebase_ml_naturallanguage,bauerb,,,,,,,,,,,,
firebase_ml_language_id,firebase-ml-natural-language-language-id-model,firebase_ml_naturallanguage,bauerb,,,,,,,,,,,,
predictondevice-api,firebase-ml-natural-language-smart-reply,firebase_ml_naturallanguage,bauerb,,,,,,,,,,,,
predictondevice,firebase-ml-natural-language-smart-reply-model,firebase_ml_naturallanguage,bauerb,,,,,,,,,,,,
firebase_ml_translate_api,firebase-ml-natural-language-translate,firebase_ml_naturallanguage_translate,bauerb,,,,,,,,,,,,
firebase_ml_translate,firebase-ml-natural-language-translate-model,firebase_ml_naturallanguage_translate,bauerb,,,,,,,,,,,,
firebase_ml_vision,firebase-ml-vision,firebase_ml,songchenxi,Yes - bug fixes only,24.0.0,24.0.1,,cl/278714219,,,,,b/143954488,,
firebase_ml_model_interpreter,firebase-ml-model-interpreter,firebase_ml,songchenxi,Yes - bug fixes only,22.0.0,22.0.1,,,,,,,b/143955162,,
firebase_ml_common,firebase-ml-common,firebase_ml,songchenxi,Yes - but no functional changes,22.0.0,22.0.1,,,,,,,b/143954442,,
firebase_ml_vision_object_detection,firebase-ml-vision-object-detection,firebase_ml,songchenxi,Yes - but no functional changes,19.0.2,19.0.3,,,,,,,b/143954731,,
