M57,http://b/hotlists/1670089,Release Manager: davidmotson@,Code Freeze October 1, 2019 (Core team will create RC from Rapid next day)
Launchcal Deadline October 4, 2019
Launch October 10, 2019 (go/firebase-m-dates   go/firebase-android-calendar),,,,,,,,,,,,
Library Name,External Name,Library Group,Owner,Launching?,OldVersion,NewVersion,Ariane Entry,Release
Note CL,JavaDocs CL,Link to CHANGELOG,Internal Hotlist,Prebuilts Drop Bug,Manual Verification Bug,Javadoc Bug,Fireescape name(if applicable)
,,,Responsible for making sure this sheet is updated,Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.,Current public version,Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl,Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).,If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.,,Required: Text file that is customer-facing descriptions of all changes in the release ,Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized),,,,
,,,,,,,Firebase tips,,,,,,,,
,,,,,,,GMS Core,,,,,,,,
firebase-auth-interop,,firebase-auth-interop,mdeck,,,,,,N/A - no ref docs ever,,,,,,
firebase-auth,,firebase_auth,mdeck,,,,,,,,,,,,
firebase-auth-api,firebase-auth,firebase_auth,mdeck,,,,,,,,,,,,
firebase-database,firebase-database,firebase_database,mrschmidt,Yes - includes new functionality,19.1.1,19.2.0,,cl/270125542,,,,b/142010076,b/142132760,,firebase-database
firebase_ml_natural_language,firebase-ml-natural-language,firebase_ml_naturallanguage,bauerb,Yes - includes new functionality,21.0.3,22.0.0,,cl/272678884,,,,b/142012937,b/142009718,,
firebase_ml_language_id,firebase-ml-natural-language-language-id-model,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,20.0.6,20.0.7,,cl/272678884,,,,b/142012780,b/142009771,,
predictondevice-api,firebase-ml-natural-language-smart-reply,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,18.0.6,18.0.7,,cl/272678884,,,,b/142012841,b/142011108,,
predictondevice,firebase-ml-natural-language-smart-reply-model,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,20.0.6,20.0.7,,cl/272678884,,,,b/142011889,b/142009772,,
firebase_ml_translate_api,firebase-ml-natural-language-translate,firebase_ml_naturallanguage_translate,bauerb,Yes - includes new functionality,21.0.3,22.0.0,,cl/272678884,,,,b/142012684,b/142011957,,
firebase_ml_translate,firebase-ml-natural-language-translate-model,firebase_ml_naturallanguage_translate,bauerb,Yes - but no functional changes,20.0.6,20.0.7,,cl/272678884,,,,b/142012801,b/142012437,,
firebase_ml_vision,firebase-ml-vision,firebase_ml,songchenxi,Yes - includes new functionality,23.0.0,24.0.0,,cl/271198047,,,,b/142012820,b/142011304,,
