M52,http://b/hotlists/1668689,Release Manager: ashwinraghav@,Code Freeze July 16, 2019 (Core team will create RC from Rapid next day)
Launchcal Deadline July 19, 2019
Launch July 25, 2019 (go/firebase-m-dates   go/firebase-android-calendar),,,,https://docs.google.com/document/d/1w2tdxuSM2y46l2_WQPF9kiywOHqsgA2gGTU1lcQoV_0/edit?usp=sharing,,,,,,,,
Library Name,External Name,Library Group,Owner,Launching?,OldVersion,NewVersion,Ariane Entry,Release
Note CL,JavaDocs CL,Link to CHANGELOG,Internal Hotlist,Prebuilts Drop Bug,Manual Verification Bug,Javadoc Bug,Fireescape name(if applicable)
,,,Responsible for making sure this sheet is updated,Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.,Current public version,Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl,Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).,If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.,,Required: Text file that is customer-facing descriptions of all changes in the release ,Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized),,,,
,,,,,,,Firebase tips,,,,,,,,
,,,,,,,GMS Core,,,,,,,,
measurement_sdk_api,play-services-measurement-sdk-api,measurement,dhm,,,,,,N/A - no ref docs ever,,,,,,
measurement_sdk,play-services-measurement-sdk,measurement,dhm,,,,,,N/A - no ref docs ever,,,,,,
tagmanager,play-services-tagmanager,measurement,eburley,,,,,,N/A - no ref docs ever,,,,,,
tagmanager-api,play-services-tagmanager-api,measurement,eburley,,,,,,N/A - no ref docs ever,,,,,,
tagmanager_legacy,play-services-tagmanager-v4-impl,measurement,eburley,,,,,,N/A - no ref docs ever,,,,,,
measurement_connector,measurement_connector,measurement_connector,dhm,,,,,,N/A - no ref docs ever,,,,,,
firebase_ads,,,ashwinraghav,,,,,,,,,,,,
firebase_ads_lite,,,ashwinraghav,,,,,,,,,,,,
clearcut,play-services-clearcut,clearcut,eworoshow,,,,,,N/A - no ref docs ever,,,,,,
firebase_abt,firebase-abt,firebase_abt,sinank,,,,,N/A - no release notes ever,N/A - no ref docs ever,,,,,,
firebase-database-collection,firebase-database-collection,firebase-database-collection,mrschmidt,,,,,,N/A - no ref docs ever,,,,,,
crash,firebase-crash,crash,tdeshpande,,,,,,,,,,,,
firebase-perf,firebase-perf,firebase-perf,tdeshpande,,,,,,,,,,,,
phenotype,play-services-phenotype,phenotype,eworoshow,,,,,,N/A - no ref docs ever,,,,,,
firebase_remote_config,firebase-config,firebase_remote_config,miraziz,,,,,,,,,,,,
functions,,N/A,klimt,Yes - but no functional changes,18.0.1,18.1.0,https://ariane.googleplex.com/launch/284130,cl/256407832,,,,b/137782474,b/137798294,b/138454730,
firebase_core,firebase-core,firebase_core,ashwinraghav,,,,,,N/A - no ref docs ever,,,,,,
firebase_invites,firebase-invites,firebase-invites,ciarandowney,,,,,,,,,,,,
protolite-well-known-types,,,ashwinraghav,,,,,,N/A - no ref docs ever,,,,,,
vision_image_label_impl,firebase-ml-vision-image-label-model,vision,songchenxi,,,,,,,,,,,,
vision_face_impl,firebase-ml-vision-face-model,vision,songchenxi,,,,,,,,,,,,
vision,play-services-vision,vision,songchenxi,,,,,,,,,,,,
vision_common,play-services-vision-common,vision,songchenxi,,,,,,,,,,,,
vision_image_label,play-services-vision-image-label,vision,songchenxi,,,,,,,,,,,,
icing,firebase-appindexing,icing,cassiewang,,,,,,,,,,,,
firebase-inappmessaging,firebase-inappmessaging,N/A,theresamegha,,,,,,,,,,,,
firebase-inappmessaging-display,firebase-inappmessaging-display,N/A,theresamegha,,,,,,,,,,,,
google-services plugin ,n/a,n/a,davidmotson,,,,,,,,,,,,
strict-version-matcher,n/a,n/a,davidmotson,,,,,,,,,,,,
firebase-datatransport,firebase-datatransport,n/a,vkryachko,,,,,,,,,,,,firebase-datatransport
transport-runtime,transport-runtime,n/a,vkryachko,,,,,,,,,,,,transport:transport-runtime
transport-backend-cct,transport-backend-cct,n/a,vkryachko,,,,,,,,,,,,transport:transport-backend-cct
transport-api,transport-api,n/a,vkryachko,,,,,,,,,,,,transport:transport-api
